gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Rag1	8.228044538377278e-28	-6.599717592763316	0.9	0.274	1.8440693419411155e-23	6.106259422652989e-38	-134.24301381835622	0.957	0.645	1.3685348618049879e-33	3.9720686173742054e-35	-167.80789680126998	0.987	0.643	8.902200185259069e-31	7.45351794575468e-69	-57.578984811490884	0.997	0.566	1.6704824420025388e-64	8.228044538377278e-28	2.9814071783018605e-68
Cd8b1	1.6296659076458363e-20	-28.09082264151333	0.98	0.5	3.6524072322158484e-16	3.492592673347745e-25	-162.63369617882478	1	0.805	7.827598699506966e-21	6.604910480444791e-25	-132.7559615830638	0.981	0.741	1.4802925368772866e-20	1.9449286612230923e-56	-60.063813858444945	0.993	0.694	4.358974115533195e-52	1.6296659076458363e-20	7.7797146448924605e-56
Cd4	1.4240018218444474e-14	0.8132810198512606	0.48	0.123	3.1914728831177757e-10	1.2205445910801494e-25	-41.85858550143759	0.805	0.497	2.7354845375288306e-21	8.504298053075706e-25	-35.69685166489744	0.851	0.482	1.9059832796553274e-20	1.9607133099486552e-21	-6.859489680026178	0.765	0.488	4.3943506702569263e-17	1.4240018218444474e-14	4.88217836432057e-25
Gtf2h4	4.892193591700818e-14	-3.968958040397311	1	0.729	1.0964384277719874e-9	8.707463127014579e-20	-160.01020056892366	0.978	0.836	1.9515166360265072e-15	2.9036051216338043e-18	-109.92903525074207	0.994	0.763	6.507559798605682e-14	6.5209749507881896e-43	-70.30373482765975	0.977	0.689	1.4614809059706491e-38	4.892193591700818e-14	2.6083899803152787e-42
Endou	8.751780953349949e-24	-3.056944134858663	0.68	0.152	1.9614491472647906e-19	1.7549750655713408e-18	-46.110387490577956	0.771	0.501	3.933250116958489e-14	7.891244812729889e-13	-22.203258244004946	0.799	0.49	1.7685857874290227e-8	7.54875948081431e-27	-3.7016144718345485	0.574	0.295	1.6918279748401032e-22	7.891244812729889e-13	3.019503792325711e-26
P2rx1	1.4895811519562721e-9	0.3804942482871169	0.16	0.024	3.338449277764397e-5	8.79697852220538e-22	-5.253173052513362	0.433	0.175	1.9715788263966696e-17	6.732346255285168e-24	0.8905507954423975	0.532	0.204	1.5088534427345118e-19	1.0730954528131884e-28	0.6018358981363459	0.399	0.158	2.4050215288449176e-24	1.4895811519562721e-9	4.292381811252747e-28
Arpp21	3.4796588779889555e-9	-14.716663288635987	0.8	0.442	7.798611477348846e-5	5.936589255517183e-17	-72.5583700610441	0.931	0.68	1.3305083839465109e-12	1.3989440720095975e-14	-73.33299525014601	0.942	0.637	3.13531345418791e-10	7.6432681228924005e-53	-27.056377973440313	0.963	0.539	1.7130092517026448e-48	3.4796588779889555e-9	3.0573072491569517e-52
Dctpp1	9.59675103352921e-9	-71.54823209460154	0.38	0.697	2.1508238416345665e-4	7.817638205600397e-10	-39.79356973758622	0.091	0.26	1.752089074639161e-5	2.901462857720364e-11	-63.59640859473899	0.117	0.359	6.50275855672288e-7	2.308620430063504e-13	-38.02105443012092	0.091	0.274	5.1740801078583254e-9	9.59675103352921e-9	9.234481720250817e-13
Cdk4	3.299340934157129e-8	-49.53368744655219	0.34	0.692	7.394482901632957e-4	2.6131496265937625e-11	-37.73145278109906	0.16	0.353	5.85659094312194e-7	6.005780493059941e-9	-62.73312878602087	0.312	0.486	1.346015524104594e-4	6.531788780693311e-11	-35.300236410600206	0.258	0.407	1.4639045015289848e-6	3.299340934157129e-8	1.0452598505965344e-10
Ccnd3	7.05178724574025e-8	-6.1265214501940335	0.78	0.485	0.0015804465575153049	6.45442486223266e-10	-166.62049722230105	0.974	0.833	1.4465657001235838e-5	2.2798967863758326e-9	-137.87495606720734	0.987	0.804	5.109704677625516e-5	3.7102806906325573e-37	-97.43860675625862	0.987	0.769	8.315481083845688e-33	7.05178724574025e-8	1.4841122762530311e-36
