gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cldn15	5.038462479189113e-16	11.215667960739152	1	0.154	1.0076924958378228e-12
Fbln1	5.05481095035219e-16	9.694006567867808	1	0.123	1.010962190070438e-12
Nkain4	5.086397377908743e-16	11.15614335685796	1	0.058	1.0172794755817485e-12
Cav1	5.182328295774157e-16	9.51798628988869	1	0.042	1.0364656591548314e-12
Nbl1	5.347521476093355e-16	9.047026995584247	1	0.091	1.069504295218671e-12
Ccdc80	5.524771532513591e-16	9.463362581612207	1	0.086	1.1049543065027183e-12
Gpc3	5.527522021636837e-16	10.23943511624945	1	0.066	1.1055044043273675e-12
Esam	5.566170845589712e-16	8.333371274286172	1	0.095	1.1132341691179424e-12
Rnase4	5.582816031805425e-16	8.504190242417021	1	0.081	1.116563206361085e-12
Tmem119	5.612063212241199e-16	8.882997622785307	1	0.064	1.1224126424482398e-12
Cdh11	5.617651197197359e-16	9.714331795134589	1	0.114	1.1235302394394719e-12
Fbln2	5.627443367211601e-16	9.801730015274435	1	0.215	1.12548867344232e-12
Dcn	5.645673470130167e-16	7.613727855160924	1	0.106	1.1291346940260335e-12
Igfbp5	5.648483260255248e-16	8.559402344280992	1	0.067	1.1296966520510497e-12
Serpinh1	5.737700512832433e-16	8.360868599590496	1	0.055	1.1475401025664866e-12
Timp2	5.831205371051468e-16	8.650775383422769	1	0.225	1.1662410742102936e-12
Igfbp6	6.119301502834833e-16	8.20878726755205	1	0.141	1.2238603005669666e-12
Neo1	6.155903101481147e-16	6.68289851752634	1	0.093	1.2311806202962293e-12
Arhgap29	6.222021234678987e-16	9.2380634800451	1	0.086	1.2444042469357973e-12
Ppic	6.361101302746348e-16	8.64355256936925	1	0.089	1.2722202605492696e-12
Anxa1	6.498401759386676e-16	7.806237990530537	1	0.094	1.299680351877335e-12
Igfbp7	6.509705037026035e-16	7.12755721912221	1	0.075	1.301941007405207e-12
Pmp22	6.517790664150804e-16	7.330373587712813	1	0.093	1.3035581328301608e-12
Anxa3	6.556739633265381e-16	8.027010237047481	1	0.081	1.3113479266530763e-12
Sparc	6.556739635237764e-16	7.631265166111358	1	0.084	1.3113479270475528e-12
Dlk1	6.55999571410003e-16	9.75430101710722	1	0.115	1.311999142820006e-12
Col1a2	6.599193171202383e-16	7.79802633408902	1	0.131	1.3198386342404766e-12
C2	6.617235709415497e-16	9.85221464045491	1	0.095	1.3234471418830996e-12
Fn1	6.719842768248772e-16	8.289464646266875	1	0.093	1.3439685536497545e-12
App	6.805419183995607e-16	7.98862925432368	1	0.067	1.3610838367991214e-12
Bst2	6.990200151343726e-16	8.984732467920537	1	0.209	1.398040030268745e-12
S100a16	7.256864462584341e-16	7.844693090157614	1	0.052	1.4513728925168681e-12
Fstl1	7.280285477688205e-16	7.324578628558331	1	0.084	1.456057095537641e-12
Rbpms	7.650137508731641e-16	7.464901749020868	1	0.057	1.5300275017463282e-12
Sbsn	7.712917213552261e-16	9.569268644655029	1	0.152	1.5425834427104521e-12
Fxyd3	7.863330478374756e-16	7.981058350226757	1	0.059	1.5726660956749512e-12
Mgst1	7.880870745066172e-16	8.669607199383735	1	0.081	1.5761741490132344e-12
Rhoc	8.124486588936609e-16	6.6360608276545445	1	0.08	1.6248973177873219e-12
Maged1	8.486028472782986e-16	6.742712457738067	1	0.116	1.6972056945565974e-12
Col5a1	8.496527784870688e-16	7.02497644490294	1	0.085	1.6993055569741377e-12
Crip1	8.530211672132473e-16	7.166225801841415	1	0.315	1.7060423344264945e-12
Lrp1	8.713529104520573e-16	5.756979322023085	1	0.062	1.7427058209041146e-12
S100a6	8.732936382476529e-16	6.640987861562575	1	0.098	1.7465872764953056e-12
Ndn	9.559296018456531e-16	5.929299630690668	1	0.058	1.9118592036913062e-12
Peg3	9.611351571317926e-16	6.219302258525087	0.955	0.067	1.9222703142635852e-12
S100a1	9.819957493511354e-16	8.578091006380351	1	0.101	1.963991498702271e-12
Grb10	1.0147511370567585e-15	7.2366120879559315	0.955	0.054	2.029502274113517e-12
Trf	1.0403423810615327e-15	6.6987666508305885	1	0.101	2.0806847621230652e-12
Rspo1	1.0774006163959702e-15	10.173989031236024	0.955	0.071	2.1548012327919404e-12
Bicc1	1.0929084242071306e-15	7.372063625863991	0.955	0.069	2.185816848414261e-12
Cald1	1.0993895802078437e-15	6.5603465331245765	1	0.072	2.1987791604156874e-12
Nfib	1.1165833019126482e-15	6.834059992072021	0.955	0.049	2.2331666038252963e-12
Cebpb	1.1634524766403565e-15	6.953939326599631	1	0.213	2.326904953280713e-12
Nfix	1.1927334354589775e-15	6.119219456665075	1	0.096	2.385466870917955e-12
Cd63	1.3758216857951704e-15	5.734999995881292	1	0.079	2.751643371590341e-12
Dstn	1.4914972689226181e-15	2.9388598187036905	1	0.204	2.9829945378452362e-12
Lgals7	1.5017732264062686e-15	10.22336557566939	0.955	0.158	3.0035464528125373e-12
