mTEC	ETP	Mac	DC	Mono/Macrophage
Ackr4	Cd11b	Cd68	Clec9a	Aif1
Prss16	Cd4	F4/80	Napsb	C1qc
Ccl21a	Hla-dr	Cd64	Wfdc21p	C1qa
Krt5	Cd117		Batf3	Clec10a
Aire	Cd33		Mpeg1	S100A8
Fezf2	Cd34		HLA-DOB	S100A9
Trpm5	Cd7		Shtn1	S100A12
Dclk1	Cd13		Anpep	FCN1
Itga6	Cd65		Slanf8	VCAN
Sca1	Cd2		Znf366	S100A4
Cd40			IL3A	CTSS
H2-Aa			Nrp1	CD52
Cd74			Thbd	LYZ
Pigr			Xcr1	S100A6
Ly6d			Itgax	SERPINA1
Spink5			CXCL9	CSTA
lvl			BCL2A1	PLBD1
Krt10			IL12B	MNDA
Trpm5			KIF2A	LTA4H
Dclk1			TXN	PLAUR
L1cam			CYB5A	LGALS1
			IDO1	HCK
			ID2	SOD2
			TSPAN13	CFP
			CCL17	LGMN
			TMEM176B	SEPP1
			CAPG	C1QC
			TMEM176A	APOE
			HOPX	SLC40A1
			TNFRSF11B	STAB1
			CD70	FOLR2
			CCL19	DAB2
			MT2A	AGR2
			IDO1	TIMD4
			PLEK	MS4A6A
			SERPINB1	MAF
			TRAF1	A2M
				APOC1
				F13A1
