DC,Mono/Macrophage
Clec9a,Aif1
Napsb,C1qc
Wfdc21p,C1qa
Batf3,Clec10a
Mpeg1,S100A8
HLA-DOB,S100A9
Shtn1,S100A12
Anpep,FCN1
Slanf8,VCAN
Znf366,S100A4
IL3A,CTSS
Nrp1,CD52
Thbd,LYZ
Xcr1,S100A6
Itgax,SERPINA1
CXCL9,CSTA
BCL2A1,PLBD1
IL12B,MNDA
KIF2A,LTA4H
TXN,PLAUR
CYB5A,LGALS1
IDO1,HCK
ID2,SOD2
TSPAN13,CFP
CCL17,LGMN
TMEM176B,SEPP1
CAPG,C1QC
TMEM176A,APOE
HOPX,SLC40A1
TNFRSF11B,STAB1
CD70,FOLR2
CCL19,DAB2
MT2A,AGR2
IDO1,TIMD4
PLEK,MS4A6A
SERPINB1,MAF
TRAF1,A2M
,APOC1
,F13A1
