gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Hist1h2ap	4.9358826322628264e-71	1.050120281869674	0.922	0.23	9.871765264525652e-68
Hist1h2ae	6.150297262675251e-60	-2.6876338506508315	0.87	0.195	1.23005945253505e-56
Hist1h1b	5.588212773066101e-54	-1.2007765852781027	0.839	0.193	1.1176425546132202e-50
Top2a	5.697285530252212e-54	-6.352273542478043	0.823	0.219	1.1394571060504423e-50
Hist1h1e	1.9735931362606577e-51	-5.088541734301199	0.776	0.208	3.947186272521315e-48
Mki67	5.093752612444178e-50	-6.762573760485141	0.719	0.202	1.0187505224888357e-46
Nusap1	6.624098564904314e-48	-9.47552236548909	0.745	0.173	1.324819712980863e-44
Fbxo5	6.53537736076528e-45	-7.8651739184711476	0.792	0.214	1.3070754721530558e-41
Ank	5.069087818946371e-43	-7.647479635681446	0.057	0.19	1.0138175637892742e-39
Hist1h4d	4.4756811265877907e-41	-6.38857700980126	0.74	0.211	8.951362253175582e-38
Prc1	2.3304410293276496e-38	-7.329134655485151	0.604	0.183	4.660882058655299e-35
Hmgb2	5.560292207397171e-38	-7.833694450842993	0.823	0.288	1.1120584414794343e-34
Tyms	5.936305934668215e-38	-9.561211689211282	0.724	0.244	1.187261186933643e-34
Hist1h1d	8.183910564561327e-38	-4.52918852108775	0.667	0.183	1.6367821129122654e-34
Rrm2	8.172272982347675e-37	-7.826698284186929	0.76	0.245	1.634454596469535e-33
Zfp287	9.510808808087243e-37	-8.587867257925378	0.099	0.202	1.9021617616174484e-33
Rhbdl3	7.482457948280674e-36	-11.593671781890146	0.099	0.12	1.4964915896561349e-32
Prdm1	7.681899932496231e-35	-12.115190790331145	0.078	0.18	1.5363799864992461e-31
Gm25663	1.1684913233365748e-34	3.681748318906161	0.047	0.163	2.3369826466731494e-31
Birc5	1.1670077195837528e-33	-8.162825083213793	0.755	0.234	2.3340154391675056e-30
Cox6a2	1.8294110415876165e-33	-2.8788518009078743	0.161	0.244	3.658822083175233e-30
Ube2c	5.710839213264317e-33	-8.60117762562643	0.672	0.196	1.1421678426528635e-29
Trim30c	2.689514975526816e-32	-10.258221240902492	0.188	0.243	5.379029951053632e-29
Clspn	3.7307210519072555e-32	-5.0731845107148406	0.698	0.231	7.461442103814512e-29
Trdv1	7.555269935891775e-32	-13.098024648865302	0.594	0.193	1.5110539871783548e-28
Hist1h1a	1.0957246691274046e-30	-2.4536520243937616	0.646	0.173	2.1914493382548092e-27
Fgfbp1	1.7783942002794716e-30	-14.110216374902791	0.578	0.181	3.5567884005589434e-27
Tuba1b	2.7295009390191547e-30	-4.758442282922513	0.74	0.306	5.459001878038309e-27
Tubb4a	3.7480894327099085e-30	-6.305140773039075	0.036	0.141	7.496178865419817e-27
Syt14	7.792066005953422e-30	-5.573859863554992	0.479	0.179	1.5584132011906843e-26
Snora31	1.4228912976296985e-29	-9.008285988314535	0.083	0.177	2.845782595259397e-26
Clec12a	1.6782230101436156e-29	-9.884521593229556	0.141	0.165	3.3564460202872313e-26
Spc25	2.071130697672972e-29	1.0827322390708556	0.651	0.179	4.142261395345944e-26
Slco4a1	2.111889951733916e-29	2.8288185374326815	0.599	0.202	4.223779903467832e-26
Ebf1	4.313407916745972e-29	-12.697801684828676	0.458	0.1	8.626815833491944e-26
Gm10800	8.428665216093778e-29	-13.278465637888445	0.115	0.208	1.6857330432187557e-25
Hist1h2bc	1.1818307323496398e-28	-12.10455671102072	0.688	0.244	2.3636614646992797e-25
Pld4	1.2911953148074192e-28	-13.667184685131735	0.318	0.115	2.5823906296148383e-25
H2afz	2.29690515491236e-28	-7.292258140763499	0.812	0.349	4.59381030982472e-25
Mxd3	2.3273532244232345e-28	-2.546918203132387	0.526	0.154	4.654706448846469e-25
H1fx	3.376341052830331e-28	-2.1860923928125224	0.656	0.251	6.7526821056606615e-25
Llgl2	1.0153525391237812e-27	-10.104264235934656	0.062	0.18	2.0307050782475625e-24
Map1b	2.1972171193488915e-27	-8.564177691825492	0.042	0.158	4.3944342386977834e-24
Dek	6.68249261156376e-27	-6.193224518114878	0.74	0.352	1.336498522312752e-23
H2afx	8.520877672757201e-27	-2.560379967330803	0.63	0.262	1.7041755345514401e-23
Fzd10	1.015784756155438e-26	-5.811374602697084	0.51	0.182	2.031569512310876e-23
Aqp7	1.2038548290198792e-26	-5.997109631830737	0.109	0.22	2.4077096580397586e-23
Sipa1l2	1.222883097402381e-26	-12.389378378830774	0.01	0.121	2.4457661948047618e-23
Cxcl9	1.247796119555255e-26	-13.24042938818968	0.141	0.163	2.4955922391105098e-23
Tnfsf8	1.3011576850237136e-26	-12.808432209439454	0.052	0.152	2.6023153700474273e-23
Six1	1.952693122070063e-26	-11.051695925459313	0.062	0.11	3.905386244140126e-23
Shc4	2.738792996834121e-26	-4.961211824414198	0.099	0.128	5.477585993668242e-23
Pbk	3.2137105054042975e-26	-5.765694904040898	0.531	0.183	6.427421010808595e-23
Cmya5	5.9729858115565e-26	-12.313866695134694	0.104	0.195	1.1945971623113e-22
Gm26620	7.316722607929516e-26	-8.06465033210695	0.057	0.162	1.463344521585903e-22
Gm25082	1.1232646557272197e-25	-6.516416764367004	0.083	0.198	2.2465293114544397e-22
Ptcra	2.2003273708536424e-25	-3.7347998095173214	0.469	0.222	4.400654741707285e-22
F13a1	6.721266332407757e-25	-10.951790485067749	0.375	0.194	1.3442532664815514e-21
Gm24336	7.638758069634422e-25	-5.765987578415414	0.12	0.217	1.5277516139268843e-21
