gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Isg15	7.174369557297157e-25	-Inf	0.987	0.775	1.607919705181439e-20	4.9745882782588795e-17	-72.38112009746112	0.667	0.104	1.11490472492338e-12	1.0769537576285623e-16	-334.5215072386095	0.971	0.379	2.413668761597134e-12	1.5982681536851007e-9	-115.5495684273912	0.778	0.134	3.582038586039048e-5	1.5982681536851007e-9	2.8697478229188498e-24
Rtp4	1.2952641013478779e-8	-16.267244999491002	0.92	0.718	2.902945903940864e-4	7.841943529816326e-15	-8.94522041716914	0.333	0.028	1.757536383902435e-10	7.306890415356055e-15	-24.01227960507898	0.829	0.243	1.6376202798895992e-10	5.861984769785501e-8	-2.5592434293966067	0.333	0.03	0.0013137880266043266	5.861984769785501e-8	2.922756166142383e-14
Trim30a	6.860960288261748e-16	-34.5469897950631	0.867	0.462	1.537678419805223e-11	7.2617071177254565e-9	2.1800806131435673	0.333	0.048	1.6274937992246294e-4	8.090274806007208e-6	-6.142040158047574	0.457	0.185	0.18131923895223354	1.5398250333021626e-5	1.5006747945786	0.444	0.072	0.34510558646368067	1.5398250333021626e-5	2.744384115304693e-15
Xaf1	1.0977805115977055e-9	-57.772949227918104	0.827	0.509	2.4603456825927775e-5	3.0904935960688815e-6	-4.215436517142196	0.222	0.031	0.06926414247509577	1.830192104105665e-5	-24.179536344691712	0.429	0.163	0.4101826543721616	3.185396984062635e-16	-6.235184095989062	0.556	0.036	7.139111720681178e-12	1.830192104105665e-5	1.2741587936250537e-15
Isg20	9.222817713496911e-14	-78.63992633049268	0.68	0.281	2.0670179059489278e-9	1.2203821334301122e-5	-126.91192351273033	0.278	0.051	0.2735120437443567	4.167225112420609e-5	-173.90644975385607	0.4	0.164	0.9339584921957069	1.6006202415676728e-4	-96.89918124074157	0.333	0.052	1	1.6006202415676728e-4	3.6891270853982606e-13
Slfn5	6.759024937419339e-4	-19.221304063251644	0.187	0.079	1	7.240903619406243e-7	0.25766203986844327	0.167	0.016	0.01622831319181327	1.4886054691436402e-5	-4.113419637125498	0.2	0.047	0.33362625774447263	1.9062134523806213e-5	-3.2625964069948674	0.333	0.043	0.42722055894754485	6.759024937419339e-4	2.8963583019229035e-6
Epsti1	1.5742584903131358e-11	-19.109215329130276	0.773	0.512	3.5282281284898e-7	1.3339162822232462e-4	-2.9079139553012197	0.278	0.062	1	0.0011749715930181404	-31.552154925528342	0.457	0.232	1	0.0014738774513487218	-22.117456683335625	0.333	0.071	1	0.0014738774513487218	6.297033961103846e-11
Stat1	3.7054494187681223e-9	-108.82953318203793	0.84	0.638	8.304653237343115e-5	1.7335057501500015e-12	-27.73717422567809	0.722	0.152	3.8851330872361834e-8	3.4704909333389134e-14	-56.026283164265976	0.857	0.342	7.778064279799173e-10	0.0015231505769044869	-22.718373515088555	0.556	0.21	1	0.0015231505769044869	1.388196373335492e-13
Ifi203	1.1119704391159887e-4	-67.89732361580073	0.787	0.612	1	0.0010147487494919407	-8.969281289635147	0.611	0.302	1	5.186450355299777e-7	-33.72102098192366	0.771	0.43	0.01162387253629786	0.0025578739593740706	-11.473549674554267	0.667	0.276	1	0.0025578739593740706	2.074578528164433e-6
Usp18	4.092859229968359e-5	-39.68396891425746	0.68	0.49	0.9172916106205086	1.1369116639871528e-49	-1.8047790028267583	0.444	0.014	2.548046421328007e-45	1.7324146419670306e-18	-35.21271401373472	0.6	0.115	3.882687695576509e-14	0.005317877941101156	-4.0363738159648435	0.111	0.011	1	0.005317877941101156	4.547646655948647e-49
Slfn1	5.414468606125955e-7	-28.44108536990852	0.547	0.31	0.01213490704004949	0.010274925002150501	0.3026678465417336	0.111	0.022	1	1.3722954940351973e-6	-25.093649956720306	0.229	0.049	0.030755886612316843	0.008107672166440419	2.8944208403078155	0.222	0.044	1	0.010274925002150501	2.1657856834627997e-6
Ifit1	5.84786341868412e-22	-59.387966643820704	0.853	0.467	1.3106231493954849e-17	3.8940209917685717e-7	-27.987465556830795	0.167	0.016	0.008727279846751724	8.551133156262463e-10	-30.633133175312246	0.4	0.096	1.916479962981543e-5	0.018534282450476114	-22.70159390751935	0.111	0.015	1	0.018534282450476114	2.3391453674736377e-21
Bst2	8.525532632393753e-16	-359.4421736762281	1	0.833	1.910742373572088e-11	9.194740545620906e-6	-72.24122917567382	0.444	0.124	0.20607252510845575	0.0071163804555705035	-198.90815761778813	0.514	0.33	1	0.025736737335053904	-74.15675931992341	0.333	0.119	1	0.025736737335053904	3.4102130529574795e-15
Irgm1	1.8351855987108177e-8	-113.66506390872341	0.733	0.431	4.1130179638306847e-4	9.384078435748465e-18	-5.741633797861308	0.5	0.052	2.103159659019946e-13	2.1236269390228475e-8	-28.580589095685788	0.543	0.178	4.7594726957380057e-4	0.043948098192796874	0.44888106627016544	0.222	0.066	1	0.043948098192796874	3.75363137429937e-17
Sp100	8.052916649205582e-8	-16.58779073047512	0.707	0.413	0.0018048196794199552	0.046127286383153734	-28.943624815824684	0.444	0.259	1	3.422495297391619e-5	-7.201635215261081	0.686	0.376	0.7670496460514097	0.003800785701990035	-2.3686490883317735	0.667	0.312	1	0.046127286383153734	3.221166270585452e-7
Nudt5	0.0029496586570083205	-11.66725942087864	0.4	0.545	1	0.030961298660290813	-23.09566894653466	0.056	0.28	1	0.0015795163239545368	-43.275070453233106	0.143	0.388	1	0.05244069591149787	-15.722500259357908	0	0.302	1	0.05244069591149787	0.006303111821450976
Parp14	1.0739023892766317e-13	-19.331363562770512	0.76	0.394	2.406830034846787e-9	0.043359480092792384	0.3413901127852994	0.167	0.057	1	3.2227214975670845e-5	-8.541787125604387	0.371	0.138	0.722276342034735	0.06983473757674147	-0.39274377562567	0.222	0.067	1	0.06983473757674147	4.295609557105835e-13
Mpc2	1.8238588100865128e-4	-21.43076295071789	0.8	0.612	1	0.07277492902998535	-32.2623670135805	0.389	0.541	1	0.00248987398621109	-17.828696403429824	0.4	0.597	1	0.0712394039372267	-59.52719225855931	0.222	0.53	1	0.07277492902998535	7.29343960643931e-4
Gbp7	7.716372187148557e-18	-36.06426366120322	0.88	0.479	1.7293933345837345e-13	6.649162711726766e-5	-0.3793993199880594	0.389	0.112	1	1.9577857456471994e-9	-8.199771277711717	0.686	0.253	4.387789413144503e-5	0.07321694458050064	-3.025501249070839	0.333	0.146	1	0.07321694458050064	3.086548874859423e-17
Ranbp1	6.992626362091911e-4	-150.0684552811869	0.8	0.821	1	0.020282874528710495	-135.44169529120282	0.167	0.423	1	0.003542511062878616	-161.19044389281086	0.371	0.547	1	0.07582837292463668	-115.2625892381699	0.222	0.476	1	0.07582837292463668	0.0027941181028601518
Lmnb1	0.03362584112219097	-26.36394066380162	0.48	0.574	1	0.014761015417373508	-42.04313766247373	0.111	0.376	1	0.028353650515817407	-71.23266181835562	0.4	0.501	1	0.08098128287280054	-78.9567694135048	0.111	0.383	1	0.08098128287280054	0.0577495537050699
Dctpp1	5.7320493520153834e-5	-57.908434281821116	0.547	0.696	1	0.014622144837949288	-39.97497129198572	0	0.254	1	0.08153056432101399	-62.885748735011546	0.257	0.354	1	0.07368868763495978	-38.2585275492142	0	0.268	1	0.08153056432101399	2.2926226100007815e-4
